Country Name,Country Code,Series Name,Series Code,2024 [YR2024],2023 [YR2023],2022 [YR2022],2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017]
Peru,PER,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.6544223,-0.7239502,-0.6566212,-0.334168099999999,-0.2963963,-0.0888854999999999,-0.1689403,-0.2242779
Uruguay,URY,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,1.5279256,1.5493831,1.6139339,1.6220519,1.5144744,1.3889225,1.3627449,1.3464781
Uruguay,URY,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.6904799,0.8539851,0.8993588,0.8270962,0.7691696,0.6879853,0.5413347,0.4897994
Uruguay,URY,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,0.9505638,0.9573597,0.9765591,0.9518641,0.8853539,0.880371,0.8658485,0.8738129
Uruguay,URY,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.2779376,1.181072,1.3035622,1.1500797,1.1512208,1.1553614,1.1130252,1.1129983
"Venezuela, RB",VEN,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-1.58714009999999,-1.5592697,-1.603038,-1.58437079999999,-1.57832329999999,-1.5948486,-1.59491649999999,-1.4525617
"Venezuela, RB",VEN,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-1.46624969999999,-1.43242089999999,-1.5015522,-1.5198422,-1.562144,-1.59746559999999,-1.59595359999999,-1.19227819999999
"Venezuela, RB",VEN,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-2.20427409999999,-2.2007889,-2.2378914,-2.3086878,-2.3520631,-2.3309796,-2.3064689,-2.2148942
"Venezuela, RB",VEN,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-1.74042419999999,-1.1035948,-1.1268117,-1.2895082,-1.4257071,-1.5120562,-1.4649999,-1.38006459999999
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data from database: Worldwide Governance Indicators,,,,,,,,,,,
Last Updated: 03/18/2026,,,,,,,,,,,
