Country,iso3,Year,SPAR_Overall,C.1.1.1,C.1,C.2.1.1,C.2.1.2,C.2,C.3.1.1,C.3.2.1,C.3,C.4.1.1,C.4.2.1,C.4,C.5.1.1,C.5.2.1,C.5,C.6.1.1,C.6,C.7.1.1,C.7,C.8.1.1,C.8.2.1,C.8,C.9.1.1,C.9.2.1,C.9.3.1,C.9,C.10.1.1,C.10,C.11.1.1,C.11,C.12.1.1,C.12,C.13.1.1,C.13,C.1.1,C.1.2,C.1.3,C.2.1,C.2.2,C.3.1,C.4.1,C.5.1,C.5.2,C.5.3,C.6.1,C.6.2,C.7.1,C.8.1,C.8.2,C.8.3,C.9.1,C.9.2,C.9.3,C.10.1,C.11.1,C.11.2,C.12.1,C.13.1,C.2.3,C.3.2,C.4.2,C.4.3,C.4.4,C.4.5,C.7.2,C.7.3,C.10.2,C.10.3,C.11.3,C.14.1,C.14,C.15.1,C.15
MOZ,MOZ,2015,67.0,100.0,100.0,100.0,60.0,80.0,100.0,90.0,95.0,78.0,100.0,89.0,83.0,60.0,72.0,71.0,71.0,60.0,60.0,83.0,100.0,92.0,55.0,50.0,100.0,68.0,100.0,100.0,33.0,33.0,0.0,,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAM,NAM,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NER,NER,2015,73.0,100.0,100.0,67.0,100.0,83.0,100.0,90.0,95.0,100.0,88.0,94.0,100.0,80.0,90.0,100.0,100.0,100.0,100.0,100.0,80.0,90.0,55.0,0.0,0.0,18.0,89.0,89.0,53.0,53.0,15.0,15.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,NGA,2015,66.0,33.0,33.0,67.0,100.0,83.0,100.0,100.0,100.0,78.0,50.0,64.0,67.0,40.0,53.0,71.0,71.0,60.0,60.0,83.0,100.0,92.0,9.0,0.0,0.0,3.0,56.0,56.0,80.0,80.0,77.0,77.0,85.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWA,RWA,2015,41.0,0.0,,0.0,20.0,10.0,100.0,80.0,90.0,78.0,62.0,70.0,33.0,20.0,27.0,71.0,71.0,60.0,60.0,92.0,100.0,96.0,18.0,0.0,0.0,6.0,56.0,56.0,27.0,27.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP,STP,2015,16.0,0.0,,33.0,60.0,47.0,80.0,0.0,40.0,44.0,12.0,28.0,17.0,0.0,8.0,14.0,14.0,0.0,,33.0,40.0,37.0,18.0,25.0,0.0,14.0,22.0,22.0,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEN,SEN,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYC,SYC,2015,82.0,67.0,67.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.0,80.0,100.0,100.0,100.0,100.0,83.0,100.0,92.0,91.0,0.0,0.0,30.0,100.0,100.0,100.0,100.0,69.0,69.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLE,SLE,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM,SOM,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
